id,user_id,order_date,status
1,1,2024-01-01,completed
2,2,2024-01-02,completed
3,3,2024-01-03,completed
4,4,2024-01-04,completed
5,5,2024-01-05,completed
6,6,2024-01-06,completed
7,7,2024-01-07,completed
8,8,2024-01-08,completed
9,9,2024-01-09,completed
10,10,2024-01-10,completed
11,1,2024-01-11,completed
12,2,2024-01-12,completed
13,3,2024-01-13,completed
14,4,2024-01-14,completed
15,5,2024-01-15,completed
16,6,2024-01-16,completed
17,7,2024-01-17,completed
18,8,2024-01-18,completed
19,9,2024-01-19,completed
20,10,2024-01-20,completed
21,1,2024-01-21,completed
22,2,2024-01-22,completed
23,3,2024-01-23,completed
24,4,2024-01-24,completed
25,5,2024-01-25,completed
26,6,2024-01-26,completed
27,7,2024-01-27,completed
28,8,2024-01-28,completed
29,9,2024-01-29,completed
30,10,2024-01-30,completed
31,16,2018-02-02,completed
32,28,2018-02-04,completed
33,42,2018-02-04,completed
34,38,2018-02-06,completed
35,80,2018-02-08,completed
36,85,2018-02-10,completed
37,1,2018-02-10,completed
38,51,2018-02-10,completed
39,26,2018-02-11,completed
40,33,2018-02-13,completed
41,99,2018-02-14,completed
42,92,2018-02-16,completed
43,31,2018-02-17,completed
44,66,2018-02-17,completed
45,22,2018-02-17,completed
46,6,2018-02-19,completed
47,50,2018-02-20,completed
48,27,2018-02-21,completed
49,35,2018-02-21,completed
50,51,2018-02-23,completed
51,71,2018-02-24,completed
52,54,2018-02-25,return_pending
53,34,2018-02-26,completed
54,54,2018-02-26,completed
55,18,2018-02-27,completed
56,79,2018-02-28,completed
57,93,2018-03-01,completed
58,22,2018-03-01,completed
59,30,2018-03-02,completed
60,12,2018-03-03,completed
61,63,2018-03-03,completed
62,57,2018-03-05,completed
63,70,2018-03-06,completed
64,13,2018-03-07,completed
65,26,2018-03-08,completed
66,36,2018-03-10,completed
67,79,2018-03-11,completed
68,53,2018-03-11,completed
69,3,2018-03-11,completed
70,8,2018-03-12,completed
71,42,2018-03-12,shipped
72,30,2018-03-14,shipped
73,19,2018-03-16,completed
74,9,2018-03-17,shipped
75,69,2018-03-18,completed
76,25,2018-03-20,completed
77,35,2018-03-21,shipped
78,90,2018-03-23,shipped
79,52,2018-03-23,shipped
80,11,2018-03-23,shipped
81,76,2018-03-23,shipped
82,46,2018-03-24,shipped
83,54,2018-03-24,shipped
84,70,2018-03-26,placed
85,47,2018-03-26,shipped
86,68,2018-03-26,placed
87,46,2018-03-27,placed
88,91,2018-03-27,shipped
89,21,2018-03-28,placed
90,66,2018-03-30,shipped
91,47,2018-03-31,placed
92,84,2018-04-02,placed
93,66,2018-04-03,placed
94,63,2018-04-03,placed
95,27,2018-04-04,placed
96,90,2018-04-06,placed
97,89,2018-04-07,placed
98,41,2018-04-07,placed
99,85,2018-04-09,placed
